image,model,avg_dist,cosine_sim,accuracy,correct,total,time,dataset
R_GImag0001.bmp,Original,0.6179450154304504,0.9999909996986389,0.4710564399421129,651,1382,3.915249824523926,web_dataset
R_GImag0001.bmp,ST-Continuous,0.7981186509132385,0.9999890923500061,0.37988422575976843,525,1382,9.252094268798828,web_dataset
R_GImag0001.bmp,ST-Bucketed,0.9023154973983765,0.9999858736991882,0.35021707670043417,484,1382,10.894191265106201,web_dataset
R_GImag0002.bmp,Original,0.35890015959739685,0.9999911189079285,0.6555716353111433,906,1382,3.9796271324157715,web_dataset
R_GImag0002.bmp,ST-Continuous,0.5853834748268127,0.9999880790710449,0.4717800289435601,652,1382,8.947635650634766,web_dataset
R_GImag0002.bmp,ST-Bucketed,1.4254703521728516,0.9999661445617676,0.07452966714905933,103,1382,9.747926235198975,web_dataset
R_GImag0003.bmp,Original,2.3439536094665527,0.9997570514678955,0.45224312590448623,625,1382,4.125621795654297,web_dataset
R_GImag0003.bmp,ST-Continuous,2.2708182334899902,0.9997757077217102,0.42185238784370477,583,1382,9.403256177902222,web_dataset
R_GImag0003.bmp,ST-Bucketed,2.4909486770629883,0.9997996687889099,0.24167872648335745,334,1382,9.932600736618042,web_dataset
R_GImag0004.bmp,Original,0.3379160761833191,0.9999901056289673,0.670767004341534,927,1382,3.963099479675293,web_dataset
R_GImag0004.bmp,ST-Continuous,1.2069464921951294,0.9999883770942688,0.07308248914616498,101,1382,8.965190410614014,web_dataset
R_GImag0004.bmp,ST-Bucketed,1.9261939525604248,0.9999878406524658,0.001447178002894356,2,1382,9.623735189437866,web_dataset
R_GImag0005.bmp,Original,1.026049256324768,0.9999794363975525,0.3306801736613603,457,1382,3.9685921669006348,web_dataset
R_GImag0005.bmp,ST-Continuous,1.282199740409851,0.9999768733978271,0.2539797395079595,351,1382,9.191623449325562,web_dataset
R_GImag0005.bmp,ST-Bucketed,1.4153400659561157,0.9999690651893616,0.2366136034732272,327,1382,10.907288074493408,web_dataset
R_GImag0006.bmp,Original,0.9768451452255249,0.9999628067016602,0.2981186685962373,412,1382,4.426481246948242,web_dataset
R_GImag0006.bmp,ST-Continuous,1.225759744644165,0.999965250492096,0.22431259044862517,310,1382,10.374281883239746,web_dataset
R_GImag0006.bmp,ST-Bucketed,1.7525326013565063,0.999946117401123,0.10274963820549927,142,1382,12.00023078918457,web_dataset
R_GImag0007.bmp,Original,1.0861071348190308,0.9996563196182251,0.39363241678726485,544,1382,4.281113386154175,web_dataset
R_GImag0007.bmp,ST-Continuous,1.248190999031067,0.9996920824050903,0.25180897250361794,348,1382,10.443073272705078,web_dataset
R_GImag0007.bmp,ST-Bucketed,1.0824891328811646,0.9996774792671204,0.3386396526772793,468,1382,11.896403312683105,web_dataset
R_GImag0008.bmp,Original,0.5484804511070251,0.999995768070221,0.5115774240231549,707,1382,4.499311685562134,web_dataset
